source,dataset,severity,seed,status,validation_passed,achieved_rate,excluded_columns
openml,MagicTelescope,0.05,2,OK,True,"{'fLength:': 0.04538286315051691, 'fWidth:': 0.054319257052742244, 'fSize:': 0.044681969511126685, 'fConc:': 0.050464342036096024, 'fConc1:': 0.051515682495181354, 'fAsym:': 0.046434203609602244, 'fM3Long:': 0.04783599088838269, 'fM3Trans:': 0.0560714911512178, 'fAlpha:': 0.053267916593656914, 'fDist:': 0.055020150692132466}",
openml,MagicTelescope,0.05,3,OK,True,"{'fLength:': 0.05747327842999825, 'fWidth:': 0.053968810233047136, 'fSize:': 0.04836166111792536, 'fConc:': 0.0497634483967058, 'fConc1:': 0.05081478885579113, 'fAsym:': 0.05204135272472402, 'fM3Long:': 0.051690905905028915, 'fM3Trans:': 0.05379358682319958, 'fAlpha:': 0.05063956544594358, 'fDist:': 0.05361836341335202}",
openml,MagicTelescope,0.1,1,OK,True,"{'fLength:': 0.10057823725249693, 'fWidth:': 0.10145435430173472, 'fSize:': 0.10250569476082004, 'fConc:': 0.1023304713509725, 'fConc1:': 0.09251796039950938, 'fAsym:': 0.10092868407219205, 'fM3Long:': 0.0983003329244787, 'fM3Trans:': 0.10355703521990538, 'fAlpha:': 0.10303136499036271, 'fDist:': 0.09602242859646049}",
openml,MagicTelescope,0.1,2,OK,False,"{'fLength:': 0.09497108813737515, 'fWidth:': 0.11407043981075872, 'fSize:': 0.09812510951463116, 'fConc:': 0.10285614158051516, 'fConc1:': 0.10145435430173472, 'fAsym:': 0.09900122656386894, 'fM3Long:': 0.10303136499036271, 'fM3Trans:': 0.10478359908883828, 'fAlpha:': 0.10057823725249693, 'fDist:': 0.10513404590853338}",
openml,MagicTelescope,0.1,3,OK,True,"{'fLength:': 0.11196775889258805, 'fWidth:': 0.1042579288592956, 'fSize:': 0.0979498861047836, 'fConc:': 0.09497108813737515, 'fConc1:': 0.0995268967934116, 'fAsym:': 0.10338181181005783, 'fM3Long:': 0.10127913089188716, 'fM3Trans:': 0.10793762046609427, 'fAlpha:': 0.10460837567899071, 'fDist:': 0.10495882249868582}",
openml,MagicTelescope,0.15,1,OK,True,"{'fLength:': 0.15261958997722094, 'fWidth:': 0.14911512178026984, 'fSize:': 0.1568249518135623, 'fConc:': 0.15016646223935518, 'fConc1:': 0.14087962151743472, 'fAsym:': 0.14946556859996496, 'fM3Long:': 0.14385841948484318, 'fM3Trans:': 0.1520939197476783, 'fAlpha:': 0.1540213772560014, 'fDist:': 0.14701244086209916}",
openml,MagicTelescope,0.15,2,OK,True,"{'fLength:': 0.14981601541966005, 'fWidth:': 0.16243210092868407, 'fSize:': 0.14403364289469073, 'fConc:': 0.1489398983704223, 'fConc1:': 0.1520939197476783, 'fAsym:': 0.1461363238128614, 'fM3Long:': 0.15156824951813563, 'fM3Trans:': 0.15261958997722094, 'fAlpha:': 0.15016646223935518, 'fDist:': 0.15857718591203784}",
openml,MagicTelescope,0.15,3,OK,True,"{'fLength:': 0.15980374978097073, 'fWidth:': 0.1568249518135623, 'fSize:': 0.14596110040301385, 'fConc:': 0.14385841948484318, 'fConc1:': 0.15261958997722094, 'fAsym:': 0.1520939197476783, 'fM3Long:': 0.15069213246889784, 'fM3Trans:': 0.15629928158401962, 'fAlpha:': 0.15139302610828806, 'fDist:': 0.15297003679691606}",
openml,MagicTelescope,0.2,1,OK,True,"{'fLength:': 0.2018573681443841, 'fWidth:': 0.19572454879971965, 'fSize:': 0.2097424215875241, 'fConc:': 0.19800245312773787, 'fConc1:': 0.1966006658489574, 'fAsym:': 0.19344664447170143, 'fM3Long:': 0.19169441037322588, 'fM3Trans:': 0.20483616611179253, 'fAlpha:': 0.20325915542316453, 'fDist:': 0.19414753811109164}",
openml,MagicTelescope,0.2,2,OK,True,"{'fLength:': 0.20150692132468898, 'fWidth:': 0.20781496407920097, 'fSize:': 0.19414753811109164, 'fConc:': 0.19922901699667075, 'fConc1:': 0.20360960224285965, 'fAsym:': 0.1939723147012441, 'fM3Long:': 0.1990537935868232, 'fM3Trans:': 0.2006308042754512, 'fAlpha:': 0.19765200630804275, 'fDist:': 0.20799018748904854}",
